1	0.000000	0.000000	0.000000
2	0.000000	0.000000	0.000000
4	0.000000	0.000000	0.000000
8	0.000000	0.000000	0.000000
16	0.000000	0.000000	0.000000
32	0.000000	0.000000	0.000000
64	0.000000	0.000000	0.000000
128	0.000000	0.000000	0.000000
256	0.000000	0.000000	0.000000
512	0.000000	0.000000	0.000000
1024	0.000000	0.000000	0.000000
2048	0.000000	0.010000	0.000000
4096	0.010000	0.000000	0.010000
8192	0.010000	0.020000	0.000000
16384	0.020000	0.030000	0.020000
32768	0.040000	0.100000	0.050000
65536	0.120000	0.250000	0.130000
131072	0.260000	0.660000	0.260000
262144	0.690000	1.440000	0.570000
524288	1.110000	3.890000	2.510000
1048576	4.210000	10.110000	4.530000
2097152	7.490000	23.280000	8.910000
4194304	15.200000	39.580000	12.020000
8388608	24.650000	53.710000	24.460000
